skill,param,class,value
Addition and Subtraction Fractions,learns,default,0.06882294662705472
Addition and Subtraction Fractions,guesses,default,0.4079171598025148
Addition and Subtraction Fractions,slips,default,0.15590552923129322
Addition and Subtraction Fractions,forgets,default,0.0
Counting Methods,prior,default,0.2796746736832471
Counting Methods,learns,default,0.12343442769358454
Counting Methods,guesses,default,0.7657407438650431
Counting Methods,slips,default,0.038057630372280486
Counting Methods,forgets,default,0.0
Scientific Notation,prior,default,0.4523896888184313
Scientific Notation,learns,default,0.283318996662952
Scientific Notation,guesses,default,0.7382866263153688
Scientific Notation,slips,default,0.09565230070775331
Scientific Notation,forgets,default,0.0
Ordering Integers,prior,default,0.9782051414272279
Ordering Integers,learns,default,0.3325845899564959
Ordering Integers,guesses,default,0.12490705373539863
Ordering Integers,slips,default,0.10275275198835548
Ordering Integers,forgets,default,0.0
Addition and Subtraction Positive Decimals,prior,default,0.8210161865960743
Addition and Subtraction Positive Decimals,learns,default,0.19651587408052376
Addition and Subtraction Positive Decimals,guesses,default,0.6600017716107093
Addition and Subtraction Positive Decimals,slips,default,0.1026001962457973
Addition and Subtraction Positive Decimals,forgets,default,0.0
Solving for a variable,prior,default,0.8471193012071854
Solving for a variable,learns,default,0.2534117018813858
Solving for a variable,guesses,default,0.5389653372919855
Solving for a variable,slips,default,0.13762829445082653
Solving for a variable,forgets,default,0.0
Exponents,prior,default,0.9837014293664952
Exponents,learns,default,0.2153191223347534
Exponents,guesses,default,0.16261617977928539
Exponents,slips,default,0.16141989932915235
Exponents,forgets,default,0.0
Substitution,prior,default,0.7856950950832066
Substitution,learns,default,0.028317628060923156
Substitution,guesses,default,0.5125012831228756
Substitution,slips,default,0.10701683801920077
Substitution,forgets,default,0.0
Conversion of Fraction Decimals Percents,prior,default,0.8311961752601693
Conversion of Fraction Decimals Percents,learns,default,0.10365959100901198
Conversion of Fraction Decimals Percents,guesses,default,0.6268752269958039
Conversion of Fraction Decimals Percents,slips,default,0.10385457991444545
Conversion of Fraction Decimals Percents,forgets,default,0.0
Multiplication Whole Numbers,prior,default,0.445550662044065
Multiplication Whole Numbers,learns,default,0.1626549419889139
Multiplication Whole Numbers,guesses,default,0.7264655267044899
Multiplication Whole Numbers,slips,default,0.05620180090251896
Multiplication Whole Numbers,forgets,default,0.0
Square Root,prior,default,0.5430574928125038
Square Root,learns,default,0.4287102224225602
Square Root,guesses,default,0.6985308042436768
Square Root,slips,default,0.10122383635235874
Square Root,forgets,default,0.0
Composition of Function Adding,prior,default,0.9519160576343036
Composition of Function Adding,learns,default,0.6465154214907921
Composition of Function Adding,guesses,default,0.4956152138751878
Composition of Function Adding,slips,default,0.03369375235092006
Composition of Function Adding,forgets,default,0.0
Nets of 3D Figures,prior,default,0.8453835971810428
Nets of 3D Figures,learns,default,0.2762006597520509
Nets of 3D Figures,guesses,default,0.636129391279864
Nets of 3D Figures,slips,default,0.016880106863898504
Nets of 3D Figures,forgets,default,0.0
Polynomial Factors,prior,default,0.9522582621076524
Polynomial Factors,learns,default,0.31325554579683196
Polynomial Factors,guesses,default,0.45470120212345
Polynomial Factors,slips,default,0.11281460437441489
Polynomial Factors,forgets,default,0.0
Write Linear Equation from Ordered Pairs,prior,default,0.6876713731981478
Write Linear Equation from Ordered Pairs,learns,default,0.04245306600749207
Write Linear Equation from Ordered Pairs,guesses,default,0.4251578391144162
Write Linear Equation from Ordered Pairs,slips,default,0.17948622047419083
Write Linear Equation from Ordered Pairs,forgets,default,0.0
Percent Of,prior,default,0.6536936476917666
Percent Of,learns,default,0.1461443934143904
Percent Of,guesses,default,0.6003848079008918
Percent Of,slips,default,0.06247345880150816
Percent Of,forgets,default,0.0
Equation Solving More Than Two Steps,prior,default,0.9059995326188387
Equation Solving More Than Two Steps,learns,default,0.12237491536163198
Equation Solving More Than Two Steps,guesses,default,0.23549121133247258
Equation Solving More Than Two Steps,slips,default,0.21652182009242166
Equation Solving More Than Two Steps,forgets,default,0.0
Graph Shape,prior,default,0.6390950154484101
Graph Shape,learns,default,0.09629406180821169
Graph Shape,guesses,default,0.447980413305545
Graph Shape,slips,default,0.06834550755851643
Graph Shape,forgets,default,0.0
Median,prior,default,0.8267276847566604
Median,learns,default,0.09078149463682404
Median,guesses,default,0.39804465342968487
Median,slips,default,0.1479310193669745
Median,forgets,default,0.0
Pattern Finding ,prior,default,0.6221222907667344
Pattern Finding ,learns,default,0.22460880205615763
Pattern Finding ,guesses,default,0.5829768596580077
Pattern Finding ,slips,default,0.16264976614489382
Pattern Finding ,forgets,default,0.0
Volume Rectangular Prism,prior,default,0.589291877207024
Volume Rectangular Prism,learns,default,0.16798991217197687
Volume Rectangular Prism,guesses,default,0.7683066323956317
Volume Rectangular Prism,slips,default,0.061707445133512825
Volume Rectangular Prism,forgets,default,0.0
Finding Percents,prior,default,0.8983766286104541
Finding Percents,learns,default,0.5490020206160573
Finding Percents,guesses,default,0.08867381261691999
Finding Percents,slips,default,0.2284013300223635
Finding Percents,forgets,default,0.0
Addition and Subtraction Integers,prior,default,0.6986704996815968
Addition and Subtraction Integers,learns,default,0.007974206408377876
Addition and Subtraction Integers,guesses,default,0.5650158094433989
Addition and Subtraction Integers,slips,default,0.11920337532515196
Addition and Subtraction Integers,forgets,default,0.0
Range,prior,default,0.8187061548719231
Range,learns,default,0.1238529810518585
Range,guesses,default,0.45641199038986374
Range,slips,default,0.06708779919708331
Range,forgets,default,0.0
Mean,prior,default,0.3944086294596515
Mean,learns,default,0.23941014487297232
Mean,guesses,default,0.679016079246116
Mean,slips,default,0.2526878129867399
Mean,forgets,default,0.0
Surface Area Rectangular Prism,prior,default,0.6704470912485704
Surface Area Rectangular Prism,learns,default,0.29638925002558675
Surface Area Rectangular Prism,guesses,default,0.4447260876166692
Surface Area Rectangular Prism,slips,default,0.15601044404189582
Surface Area Rectangular Prism,forgets,default,0.0
Parallel and Perpendicular Lines,prior,default,0.39990414738367996
Parallel and Perpendicular Lines,learns,default,0.29277671087170304
Parallel and Perpendicular Lines,guesses,default,0.6459538661645935
Parallel and Perpendicular Lines,slips,default,0.01865539864588085
Parallel and Perpendicular Lines,forgets,default,0.0
Percent Increase or Decrease,prior,default,0.5400316485055395
Percent Increase or Decrease,learns,default,0.3177099403713453
Percent Increase or Decrease,guesses,default,0.3888526504063817
Percent Increase or Decrease,slips,default,0.051660634583866494
Percent Increase or Decrease,forgets,default,0.0
Simplifying Expressions positive exponents,prior,default,0.9583879569361355
Simplifying Expressions positive exponents,learns,default,0.3667818603411225
Simplifying Expressions positive exponents,guesses,default,0.3658582614189904
Simplifying Expressions positive exponents,slips,default,0.1932105101207315
Simplifying Expressions positive exponents,forgets,default,0.0
Prime Factor,prior,default,0.6880510003437679
Prime Factor,learns,default,0.15425347798766623
Prime Factor,guesses,default,0.6035199664896469
Prime Factor,slips,default,0.09342209778851458
Prime Factor,forgets,default,0.0
Solving Systems of Linear Equations by Graphing,prior,default,0.768633628818134
Solving Systems of Linear Equations by Graphing,learns,default,0.009187279179817723
Solving Systems of Linear Equations by Graphing,guesses,default,0.3996558977155453
Solving Systems of Linear Equations by Graphing,slips,default,0.13850835580668336
Solving Systems of Linear Equations by Graphing,forgets,default,0.0
Equation Solving Two or Fewer Steps,prior,default,0.6838417971844314
Equation Solving Two or Fewer Steps,learns,default,0.012381976932557406
Equation Solving Two or Fewer Steps,guesses,default,0.6261884664800679
Equation Solving Two or Fewer Steps,slips,default,0.11680266108172131
Equation Solving Two or Fewer Steps,forgets,default,0.0
Finding Slope From Situation,prior,default,0.42549347654431313
Finding Slope From Situation,learns,default,0.07577367986470913
Finding Slope From Situation,guesses,default,0.7939085621072094
Finding Slope From Situation,slips,default,0.03522703270151911
Finding Slope From Situation,forgets,default,0.0
Scale Factor,prior,default,0.8337387419778706
Scale Factor,learns,default,0.3042612843948661
Scale Factor,guesses,default,0.5316825948502062
Scale Factor,slips,default,0.1548676844526964
Scale Factor,forgets,default,0.0
Unit Rate,prior,default,0.26889316745330066
Unit Rate,learns,default,0.1547954080485334
Unit Rate,guesses,default,0.680105819286846
Unit Rate,slips,default,0.1476791086650452
Unit Rate,forgets,default,0.0
Order of Operations All,prior,default,0.5182087831039438
Order of Operations All,learns,default,0.04586237976577398
Order of Operations All,guesses,default,0.5561640604360403
Order of Operations All,slips,default,0.1351787092086656
Order of Operations All,forgets,default,0.0
Write Linear Equation from Slope and y-intercept,prior,default,0.7795068878789659
Write Linear Equation from Slope and y-intercept,learns,default,0.32249906279247503
Write Linear Equation from Slope and y-intercept,guesses,default,0.5707973874903135
Write Linear Equation from Slope and y-intercept,slips,default,0.013577760647905597
Write Linear Equation from Slope and y-intercept,forgets,default,0.0
Ordering Real Numbers,prior,default,0.5517946956294658
Ordering Real Numbers,learns,default,0.42156633661318715
Ordering Real Numbers,guesses,default,0.4493355708486932
Ordering Real Numbers,slips,default,0.1382573229369233
Ordering Real Numbers,forgets,default,0.0
Angles on Parallel Lines Cut by a Transversal,prior,default,0.7054706343257341
Angles on Parallel Lines Cut by a Transversal,learns,default,0.7969650887215517
Angles on Parallel Lines Cut by a Transversal,guesses,default,0.66179821092035
Angles on Parallel Lines Cut by a Transversal,slips,default,0.02236234285725554
Angles on Parallel Lines Cut by a Transversal,forgets,default,0.0
Area Rectangle,prior,default,0.6960619567262711
Area Rectangle,learns,default,0.16412500538736194
Area Rectangle,guesses,default,0.7219431761533098
Area Rectangle,slips,default,0.05030053743790645
Area Rectangle,forgets,default,0.0
Division Fractions,prior,default,0.9538315380739576
Division Fractions,learns,default,0.20133647497156623
Division Fractions,guesses,default,0.16453389541756708
Division Fractions,slips,default,0.1714044847419022
Division Fractions,forgets,default,0.0
Finding Slope from Ordered Pairs,prior,default,0.3106433064194798
Finding Slope from Ordered Pairs,learns,default,0.44039634346840684
Finding Slope from Ordered Pairs,guesses,default,0.8087512040280275
Finding Slope from Ordered Pairs,slips,default,0.08603100934847362
Finding Slope from Ordered Pairs,forgets,default,0.0
Pythagorean Theorem,prior,default,0.1907449209866256
Pythagorean Theorem,learns,default,0.5305086971076012
Pythagorean Theorem,guesses,default,0.7502281133302333
Pythagorean Theorem,slips,default,0.19590492182212613
Pythagorean Theorem,forgets,default,0.0
Combining Like Terms,prior,default,0.6603888525472908
Combining Like Terms,learns,default,0.1441590833834573
Combining Like Terms,guesses,default,0.5327683630858008
Combining Like Terms,slips,default,0.18969583726682207
Combining Like Terms,forgets,default,0.0
Calculations with Similar Figures,prior,default,0.9535171978921986
Calculations with Similar Figures,learns,default,0.9932177960243246
Calculations with Similar Figures,guesses,default,0.14530297569451633
Calculations with Similar Figures,slips,default,0.17276467645701915
Calculations with Similar Figures,forgets,default,0.0
Volume Cylinder,prior,default,0.7118692044809025
Volume Cylinder,learns,default,0.3740153935867534
Volume Cylinder,guesses,default,0.3626950307785951
Volume Cylinder,slips,default,0.07036247438141512
Volume Cylinder,forgets,default,0.0
Finding y-intercept from Linear Equation,prior,default,0.603019364086728
Finding y-intercept from Linear Equation,learns,default,0.23229146935931147
Finding y-intercept from Linear Equation,guesses,default,0.7440890446601328
Finding y-intercept from Linear Equation,slips,default,0.09746920682239629
Finding y-intercept from Linear Equation,forgets,default,0.0
Finding Slope From Equation,prior,default,0.6631855315074523
Finding Slope From Equation,learns,default,0.26416259568195427
Finding Slope From Equation,guesses,default,0.627577217749962
Finding Slope From Equation,slips,default,0.11295191837312246
Finding Slope From Equation,forgets,default,0.0
Box and Whisker,prior,default,0.5789353239015382
Box and Whisker,learns,default,0.06210198751415606
Box and Whisker,guesses,default,0.5578980593077362
Box and Whisker,slips,default,0.11337243785423562
Box and Whisker,forgets,default,0.0
Venn Diagram,prior,default,0.48505555857513993
Venn Diagram,learns,default,0.18866583868361483
Venn Diagram,guesses,default,0.7075925907118389
Venn Diagram,slips,default,0.21781323276538367
Venn Diagram,forgets,default,0.0
Area Circle,prior,default,0.8699147331121071
Area Circle,learns,default,0.1651295358371134
Area Circle,guesses,default,0.09251078127198432
Area Circle,slips,default,0.24656087954432107
Area Circle,forgets,default,0.0
Perimeter of a Polygon,prior,default,0.5971992576470644
Perimeter of a Polygon,learns,default,0.10553336464255023
Perimeter of a Polygon,guesses,default,0.5716977354071455
Perimeter of a Polygon,slips,default,0.05309230467983137
Perimeter of a Polygon,forgets,default,0.0
Surface Area Sphere,prior,default,0.8457686783742375
Surface Area Sphere,learns,default,0.3032436004546695
Surface Area Sphere,guesses,default,0.25660390815166073
Surface Area Sphere,slips,default,0.09528595071130841
Surface Area Sphere,forgets,default,0.0
Area Trapezoid,prior,default,0.9848888946420403
Area Trapezoid,learns,default,0.16190057313836304
Area Trapezoid,guesses,default,0.08530195737166898
Area Trapezoid,slips,default,0.341272062246211
Area Trapezoid,forgets,default,0.0
Interior Angles Triangle,prior,default,0.6234223678873845
Interior Angles Triangle,learns,default,0.021784038020912545
Interior Angles Triangle,guesses,default,0.5951429023773764
Interior Angles Triangle,slips,default,0.08718828419479896
Interior Angles Triangle,forgets,default,0.0
"Order of Operations +,-,/,* () positive reals",prior,default,0.6026021640795022
"Order of Operations +,-,/,* () positive reals",learns,default,0.22696487842811047
"Order of Operations +,-,/,* () positive reals",guesses,default,0.6030254683660855
"Order of Operations +,-,/,* () positive reals",slips,default,0.10213338740622994
"Order of Operations +,-,/,* () positive reals",forgets,default,0.0
Computation with Real Numbers,prior,default,0.7996996884711333
Computation with Real Numbers,learns,default,0.2058588123465944
Computation with Real Numbers,guesses,default,0.2727412865259263
Computation with Real Numbers,slips,default,0.054580476820187594
Computation with Real Numbers,forgets,default,0.0
Equal As Balance Concept,prior,default,0.23209206893142081
Equal As Balance Concept,learns,default,1.0
Equal As Balance Concept,guesses,default,0.8208918922166601
Equal As Balance Concept,slips,default,0.022915933302321865
Equal As Balance Concept,forgets,default,0.0
Write Linear Equation from Situation,prior,default,0.43311278929322555
Write Linear Equation from Situation,learns,default,0.3625795333504361
Write Linear Equation from Situation,guesses,default,0.7470660772964463
Write Linear Equation from Situation,slips,default,0.047772409172992136
Write Linear Equation from Situation,forgets,default,0.0
Solving Systems of Linear Equations,prior,default,0.37349326679553646
Solving Systems of Linear Equations,learns,default,0.05617533582987074
Solving Systems of Linear Equations,guesses,default,0.5363480450522202
Solving Systems of Linear Equations,slips,default,0.11157180194905153
Solving Systems of Linear Equations,forgets,default,0.0
Write Linear Equation from Graph,prior,default,0.7765793735412493
Write Linear Equation from Graph,learns,default,0.27564559612742556
Write Linear Equation from Graph,guesses,default,0.34332766845494167
Write Linear Equation from Graph,slips,default,0.2919794178105228
Write Linear Equation from Graph,forgets,default,0.0
Factoring Trinomials,prior,default,0.6306580485647959
Factoring Trinomials,learns,default,0.9668381099627492
Factoring Trinomials,guesses,default,0.07406439129125471
Factoring Trinomials,slips,default,0.2002453463836787
Factoring Trinomials,forgets,default,0.0
Histogram as Table or Graph,prior,default,0.801288359033997
Histogram as Table or Graph,learns,default,0.05763003255936626
Histogram as Table or Graph,guesses,default,0.5514783162531294
Histogram as Table or Graph,slips,default,0.12049097163215072
Histogram as Table or Graph,forgets,default,0.0
Probability of Two Distinct Events,prior,default,0.7218760283498029
Probability of Two Distinct Events,learns,default,0.07672901826138231
Probability of Two Distinct Events,guesses,default,0.25994625245818875
Probability of Two Distinct Events,slips,default,0.27469783728554553
Probability of Two Distinct Events,forgets,default,0.0
Volume Pyramid,prior,default,0.2890506638692436
Volume Pyramid,learns,default,0.42969459535083177
Volume Pyramid,guesses,default,0.7688960889416406
Volume Pyramid,slips,default,0.06797114282789413
Volume Pyramid,forgets,default,0.0
Area Irregular Figure,prior,default,0.8779740898681763
Area Irregular Figure,learns,default,0.003934646134706109
Area Irregular Figure,guesses,default,0.23339151079286197
Area Irregular Figure,slips,default,0.34375947221524705
Area Irregular Figure,forgets,default,0.0
Volume Cone,prior,default,0.8160344548036514
Volume Cone,learns,default,0.49363522525113446
Volume Cone,guesses,default,0.18953978434231972
Volume Cone,slips,default,0.10516725356460929
Volume Cone,forgets,default,0.0
Greatest Common Factor,prior,default,0.6216421499120507
Greatest Common Factor,learns,default,0.057503136943882684
Greatest Common Factor,guesses,default,0.5625781451971367
Greatest Common Factor,slips,default,0.031560995231414986
Greatest Common Factor,forgets,default,0.0
Distributive Property,prior,default,0.5068525591369419
Distributive Property,learns,default,0.15582242210139735
Distributive Property,guesses,default,0.5921996100403013
Distributive Property,slips,default,0.10613342307372846
Distributive Property,forgets,default,0.0
Quadratic Formula to Solve Quadratic Equation,prior,default,0.34317649084588153
Quadratic Formula to Solve Quadratic Equation,learns,default,0.2205461700671523
Quadratic Formula to Solve Quadratic Equation,guesses,default,0.7408623181098016
Quadratic Formula to Solve Quadratic Equation,slips,default,0.035253802212302364
Quadratic Formula to Solve Quadratic Equation,forgets,default,0.0
Number Line,prior,default,0.7907538142188849
Number Line,learns,default,0.03949437539003853
Number Line,guesses,default,0.1733509823923086
Number Line,slips,default,0.1424360096885906
Number Line,forgets,default,0.0
Recognizing Equivalent Expressions,prior,default,0.6260708864388249
Recognizing Equivalent Expressions,learns,default,0.22656914055722435
Recognizing Equivalent Expressions,guesses,default,0.24181678422248187
Recognizing Equivalent Expressions,slips,default,0.31944430078858765
Recognizing Equivalent Expressions,forgets,default,0.0
Picking Equation and Inequality from Choices,prior,default,0.4532870967143706
Picking Equation and Inequality from Choices,learns,default,0.01375157501587803
Picking Equation and Inequality from Choices,guesses,default,0.4019491767630004
Picking Equation and Inequality from Choices,slips,default,0.059849738786777636
Picking Equation and Inequality from Choices,forgets,default,0.0
Recognize Linear Pattern,prior,default,0.09396372696979295
Recognize Linear Pattern,learns,default,0.33859191521820925
Recognize Linear Pattern,guesses,default,0.8458147198241933
Recognize Linear Pattern,slips,default,0.2988924904050831
Recognize Linear Pattern,forgets,default,0.0
Scatter Plot,prior,default,0.8332507166782224
Scatter Plot,learns,default,0.5921593448660474
Scatter Plot,guesses,default,0.28772322758749935
Scatter Plot,slips,default,0.06582803991531422
Scatter Plot,forgets,default,0.0
Multiplying non Monomial Polynomials,prior,default,0.9223907686359882
Multiplying non Monomial Polynomials,learns,default,0.28463332263515917
Multiplying non Monomial Polynomials,guesses,default,0.39695728770223637
Multiplying non Monomial Polynomials,slips,default,0.1920301273575187
Multiplying non Monomial Polynomials,forgets,default,0.0
Surface Area Cylinder,prior,default,0.7449163094688633
Surface Area Cylinder,learns,default,0.44328605702010077
Surface Area Cylinder,guesses,default,0.4255405141131091
Surface Area Cylinder,slips,default,0.15647433809931582
Surface Area Cylinder,forgets,default,0.0
Subtraction Whole Numbers,prior,default,0.6382122589008772
Subtraction Whole Numbers,learns,default,0.490464411415425
Subtraction Whole Numbers,guesses,default,0.6479539211416065
Subtraction Whole Numbers,slips,default,0.014680543220935713
Subtraction Whole Numbers,forgets,default,0.0
D.4.8-understanding-concept-of-probabilities,prior,default,0.0852191907133414
D.4.8-understanding-concept-of-probabilities,learns,default,0.5605180683443169
D.4.8-understanding-concept-of-probabilities,guesses,default,0.924881078900286
D.4.8-understanding-concept-of-probabilities,slips,default,0.11717797718705154
D.4.8-understanding-concept-of-probabilities,forgets,default,0.0
Unit Conversion Within a System,prior,default,0.02206784593357343
Unit Conversion Within a System,learns,default,0.23249011407186548
Unit Conversion Within a System,guesses,default,0.7401783288433981
Unit Conversion Within a System,slips,default,0.5145007488669051
Unit Conversion Within a System,forgets,default,0.0
Point Plotting,prior,default,0.4882250193944394
Point Plotting,learns,default,0.08352319512005527
Point Plotting,guesses,default,0.7265977418066643
Point Plotting,slips,default,0.040214524577252754
Point Plotting,forgets,default,0.0
Congruence,prior,default,0.3704445974396136
Congruence,learns,default,0.5207100932994281
Congruence,guesses,default,0.8984245232394829
Congruence,slips,default,0.009509193967981068
Congruence,forgets,default,0.0
Making a Table from an Equation,prior,default,0.889651663752319
Making a Table from an Equation,learns,default,0.2774954280118653
Making a Table from an Equation,guesses,default,0.13490367350359161
Making a Table from an Equation,slips,default,0.1044588472774331
Making a Table from an Equation,forgets,default,0.0
Rotations,prior,default,0.7049921773761073
Rotations,learns,default,0.9442319711280908
Rotations,guesses,default,0.2702675841100912
Rotations,slips,default,0.020650063505449
Rotations,forgets,default,0.0
Prime Number,prior,default,0.82743915858682
Prime Number,learns,default,0.022821417432310365
Prime Number,guesses,default,0.5795321470813549
Prime Number,slips,default,0.1275198785982636
Prime Number,forgets,default,0.0
Algebraic Solving,prior,default,0.543808949122294
Algebraic Solving,learns,default,0.025159258460528706
Algebraic Solving,guesses,default,0.4420886120399975
Algebraic Solving,slips,default,0.0660404956316134
Algebraic Solving,forgets,default,0.0
Common Factor,prior,default,0.6114146152549041
Common Factor,learns,default,0.9258976893810297
Common Factor,guesses,default,0.31149050846408305
Common Factor,slips,default,0.01472322036131605
Common Factor,forgets,default,0.0
Interior Angles Figures with More than 3 Sides,prior,default,0.8050149538219655
Interior Angles Figures with More than 3 Sides,learns,default,0.10604060449813346
Interior Angles Figures with More than 3 Sides,guesses,default,0.32699753874794013
Interior Angles Figures with More than 3 Sides,slips,default,0.17528837539347092
Interior Angles Figures with More than 3 Sides,forgets,default,0.0
Addition Whole Numbers,prior,default,0.9294088346525742
Addition Whole Numbers,learns,default,0.436794057423618
Addition Whole Numbers,guesses,default,0.2703366358863414
Addition Whole Numbers,slips,default,0.060777698708056334
Addition Whole Numbers,forgets,default,0.0
Area Triangle,prior,default,0.5863410296045166
Area Triangle,learns,default,0.06203915687330806
Area Triangle,guesses,default,0.5492071001552283
Area Triangle,slips,default,0.13482998972784163
Area Triangle,forgets,default,0.0
Volume Prism,prior,default,0.4888207373764767
Volume Prism,learns,default,0.4664483951696975
Volume Prism,guesses,default,0.7648772501446517
Volume Prism,slips,default,0.030439098328534094
Volume Prism,forgets,default,0.0
Transformation,prior,default,0.3852586751385364
Transformation,learns,default,0.01492298348519341
Transformation,guesses,default,0.20415150220612646
Transformation,slips,default,0.10968290514729527
Transformation,forgets,default,0.0
Volume Sphere,prior,default,0.7697513565461154
Volume Sphere,learns,default,0.38584931253621035
Volume Sphere,guesses,default,0.2842759165868854
Volume Sphere,slips,default,0.16774623609134653
Volume Sphere,forgets,default,0.0
Effect of Changing Dimensions of a Shape Prportionally,prior,default,0.5322830853459812
Effect of Changing Dimensions of a Shape Prportionally,learns,default,0.5913326139397951
Effect of Changing Dimensions of a Shape Prportionally,guesses,default,0.3087420650676772
Effect of Changing Dimensions of a Shape Prportionally,slips,default,0.1537681857328474
Effect of Changing Dimensions of a Shape Prportionally,forgets,default,0.0
Unit Conversion Standard to Metric,prior,default,0.04020999284546864
Unit Conversion Standard to Metric,learns,default,0.30260216244938015
Unit Conversion Standard to Metric,guesses,default,0.5831604604916926
Unit Conversion Standard to Metric,slips,default,0.5348509561525148
Unit Conversion Standard to Metric,forgets,default,0.0
Definition Pi,prior,default,0.5639359900067643
Definition Pi,learns,default,0.07280915942670085
Definition Pi,guesses,default,0.25845566770671646
Definition Pi,slips,default,0.02736778909475414
Definition Pi,forgets,default,0.0
Finding Slope from Graph,prior,default,0.47306581586792357
Finding Slope from Graph,learns,default,0.32178234353895335
Finding Slope from Graph,guesses,default,0.7739206723184393
Finding Slope from Graph,slips,default,0.005914049390667585
Finding Slope from Graph,forgets,default,0.0
Properties and Classification Quadrilaterals,prior,default,0.7964995733103633
Properties and Classification Quadrilaterals,learns,default,0.12827560312789638
Properties and Classification Quadrilaterals,guesses,default,0.6891753755643601
Properties and Classification Quadrilaterals,slips,default,0.016909849361239696
Properties and Classification Quadrilaterals,forgets,default,0.0
Properties and Classification Prism,prior,default,0.796356227046918
Properties and Classification Prism,learns,default,0.7359879001903549
Properties and Classification Prism,guesses,default,0.5972265502234975
